tank_id,t_is,h_valve,t_valve,t_set,t_min,t_max,time_index,month
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 14:53:58,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 14:57:16,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-27 14:58:22,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 14:59:29,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 15:01:42,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-27 17:25:00,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 17:26:06,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 17:28:18,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-27 17:42:38,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 17:44:51,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-27 17:45:57,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-27 17:47:03,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 17:49:16,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-27 17:53:40,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 17:57:00,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-27 17:58:06,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 18:00:18,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-27 18:06:55,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-27 18:08:01,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-27 18:09:08,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 18:10:14,September
97,21.8,0.0,0.0,22,21.5,22.5,2022-09-27 18:11:20,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 18:13:32,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-27 18:20:08,September
97,22.2,1.0,0.0,22,21.5,22.5,2022-09-27 18:37:46,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-27 18:56:30,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-27 18:57:36,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-27 19:08:37,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-27 19:16:19,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 19:18:31,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-27 19:20:43,September
97,21.8,0.0,0.0,22,21.5,22.5,2022-09-27 19:25:08,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 19:26:15,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-27 19:29:33,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 19:30:39,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-27 19:31:45,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 19:32:51,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 19:37:15,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 19:38:21,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 19:40:33,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-27 19:54:52,September
97,22.2,1.0,0.0,22,21.5,22.5,2022-09-27 20:08:05,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-27 20:24:37,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-27 20:25:43,September
97,22.3,0.0,1.0,22,21.5,22.5,2022-09-27 20:26:49,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-27 20:27:55,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-27 20:38:56,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 20:45:33,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-27 20:51:03,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-27 20:52:09,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 20:53:18,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-27 20:54:24,September
97,21.6,1.0,0.0,22,21.5,22.5,2022-09-27 20:55:30,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 20:57:42,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 20:58:48,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 21:03:13,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-27 21:09:49,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 21:10:55,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-27 21:13:07,September
97,22.2,1.0,0.0,22,21.5,22.5,2022-09-27 21:26:21,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-27 21:27:27,September
97,22.2,1.0,0.0,22,21.5,22.5,2022-09-27 21:28:34,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-27 21:41:47,September
97,22.3,0.0,1.0,22,21.5,22.5,2022-09-27 21:42:53,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-27 21:43:59,September
97,22.3,0.0,1.0,22,21.5,22.5,2022-09-27 21:45:05,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-27 21:46:11,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-27 21:55:00,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-27 21:56:06,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-27 21:57:12,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-27 22:01:36,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 22:02:42,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-27 22:04:54,September
97,21.8,0.0,1.0,22,21.5,22.5,2022-09-27 22:06:00,September
97,21.9,0.0,1.0,22,21.5,22.5,2022-09-27 22:07:06,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 22:08:13,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 22:09:19,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 22:11:31,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-27 22:12:37,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 22:18:08,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 22:19:14,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 22:20:20,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 22:21:27,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 22:22:34,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 22:23:40,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-27 22:35:47,September
97,22.2,1.0,0.0,22,21.5,22.5,2022-09-27 22:46:48,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-27 22:57:51,September
97,22.3,0.0,1.0,22,21.5,22.5,2022-09-27 23:03:22,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-27 23:04:28,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-27 23:12:11,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-27 23:17:41,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-27 23:20:59,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 23:25:24,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 23:29:49,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 23:30:55,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-27 23:32:02,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 23:33:08,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-27 23:40:51,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-27 23:41:57,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-27 23:43:03,September
97,22.2,1.0,0.0,22,21.5,22.5,2022-09-27 23:55:11,September
97,22.3,0.0,1.0,22,21.5,22.5,2022-09-28 00:06:12,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 00:10:36,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 00:20:31,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 00:23:49,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:24:55,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-28 00:27:07,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:28:13,September
97,21.8,0.0,0.0,22,21.5,22.5,2022-09-28 00:29:19,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 00:30:25,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-28 00:31:31,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:32:38,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-28 00:34:50,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 00:35:56,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 00:37:02,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 00:38:09,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:39:15,September
97,21.9,0.0,1.0,22,21.5,22.5,2022-09-28 00:40:21,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 00:41:28,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 00:42:34,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:43:40,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 00:45:53,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:46:59,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-28 00:50:17,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:51:23,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-28 00:55:48,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:56:54,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 01:07:55,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 01:09:01,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 01:12:19,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 01:13:25,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 01:15:37,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 01:18:57,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 01:21:09,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 01:26:39,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 01:27:46,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 01:28:52,September
97,21.9,0.0,1.0,22,21.5,22.5,2022-09-28 01:34:23,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 01:35:29,September
