time,tank_id,t_is,h_valve,t_valve
2023-01-01 03:07:33+00,67,8.2,0,0
2023-01-01 03:08:39+00,67,8.1,NULL,0
2023-01-01 03:27:27+00,67,8.2,NULL,0
2023-01-01 03:28:33+00,67,8.1,NULL,0
2023-01-01 03:37:23+00,67,8.2,NULL,0
2023-01-01 03:41:48+00,67,8.1,NULL,0
2023-01-01 03:42:54+00,67,8.2,NULL,0
2023-01-01 03:45:06+00,67,8.1,NULL,0
2023-01-01 03:46:12+00,67,8.2,NULL,0
2023-01-01 03:47:18+00,67,8.1,NULL,0
2023-01-01 03:48:25+00,67,8.2,NULL,0
2023-01-01 03:49:31+00,67,8.1,NULL,0
2023-01-01 03:50:37+00,67,8.2,NULL,0
2023-01-01 03:52:49+00,67,8.1,NULL,0
2023-01-01 03:56:09+00,67,8.2,NULL,0
2023-01-01 03:57:15+00,67,8.1,NULL,0
2023-01-01 03:59:27+00,67,8.2,NULL,0
2023-01-01 04:00:33+00,67,8.1,NULL,0
2023-01-01 04:01:40+00,67,8.2,NULL,0
2023-01-01 04:02:46+00,67,8.1,NULL,0
2023-01-01 04:03:52+00,67,8.2,NULL,0
2023-01-01 04:10:29+00,67,8.1,NULL,0
2023-01-01 04:11:35+00,67,8.2,NULL,0
2023-01-01 04:14:00+00,67,8.1,NULL,0
2023-01-01 04:15:06+00,67,8.2,NULL,0
2023-01-01 04:21:44+00,67,8.1,NULL,0
2023-01-01 04:22:50+00,67,8.2,NULL,0
2023-01-01 04:32:47+00,67,8.1,NULL,0
2023-01-01 04:34:59+00,67,8.2,NULL,0
2023-01-01 04:36:05+00,67,8.1,NULL,0
2023-01-01 04:37:12+00,67,8.2,NULL,0
2023-01-01 05:31:16+00,67,8.1,NULL,0
2023-01-01 05:32:22+00,67,8.2,NULL,0
2023-01-01 06:01:03+00,67,8.1,NULL,0
2023-01-01 06:02:09+00,67,8.2,NULL,0
2023-01-01 10:45:42+00,67,8.2,NULL,1
2023-01-01 11:22:07+00,67,8.1,NULL,1
2023-01-01 11:23:14+00,67,8.2,NULL,1
2023-01-01 11:35:23+00,67,8.1,NULL,1
2023-01-01 11:37:35+00,67,8.2,NULL,1
2023-01-01 11:39:47+00,67,8.1,NULL,1
2023-01-01 11:40:54+00,67,8.2,NULL,1
2023-01-01 11:42:00+00,67,8.1,NULL,1
2023-01-01 12:21:44+00,67,8,NULL,1
2023-01-01 12:23:56+00,67,8.1,NULL,1
2023-01-01 12:25:03+00,67,8,NULL,1
2023-01-01 12:31:39+00,67,8,NULL,0
2023-01-01 14:52:06+00,67,8.1,NULL,0
2023-01-01 14:53:12+00,67,8,NULL,0
2023-01-01 14:54:19+00,67,8.1,NULL,0
2023-01-01 14:55:25+00,67,8,NULL,0
2023-01-01 14:56:31+00,67,8.1,NULL,0
2023-01-01 14:57:37+00,67,8,NULL,0
2023-01-01 15:00:55+00,67,8.1,NULL,0
2023-01-01 15:03:08+00,67,8,NULL,0
2023-01-01 15:05:20+00,67,8.1,NULL,0
2023-01-01 15:06:26+00,67,8,NULL,0
2023-01-01 15:18:35+00,67,8.1,NULL,0
2023-01-01 15:20:47+00,67,8,NULL,0
2023-01-01 15:23:00+00,67,8.1,NULL,0
2023-01-01 15:30:50+00,67,8,NULL,0
2023-01-01 15:31:56+00,67,8.1,NULL,0
2023-01-01 15:33:03+00,67,8,NULL,0
2023-01-01 15:34:09+00,67,8.1,NULL,0
2023-01-01 15:45:10+00,67,8,NULL,0
2023-01-01 15:46:17+00,67,8.1,NULL,0
2023-01-01 15:54:01+00,67,8,NULL,0
2023-01-01 15:55:08+00,67,8.1,NULL,0
2023-01-01 15:56:14+00,67,8,NULL,0
