"time","tank_id","t_is","h_valve","t_valve"
"2023-11-06 00:05:23+00",78,"21.9",NULL,"0"
"2023-11-06 00:06:30+00",78,"22",NULL,"0"
"2023-11-06 00:08:43+00",78,"21.9",NULL,"0"
"2023-11-06 00:12:03+00",78,"22",NULL,"0"
"2023-11-06 00:13:10+00",78,"21.9",NULL,"0"
"2023-11-06 00:19:47+00",78,"22",NULL,"0"
"2023-11-06 00:21:02+00",78,"21.9",NULL,"0"
"2023-11-06 01:15:28+00",78,"21.8",NULL,"0"
"2023-11-06 01:16:35+00",78,"21.9",NULL,"0"
"2023-11-06 01:21:06+00",78,"21.8",NULL,"0"
"2023-11-06 01:22:13+00",78,"21.9",NULL,"0"
"2023-11-06 01:23:20+00",78,"21.8",NULL,"0"
"2023-11-06 01:25:32+00",78,"21.9",NULL,"0"
"2023-11-06 01:26:39+00",78,"21.8",NULL,"0"
"2023-11-06 02:17:45+00",78,NULL,1,NULL
"2023-11-06 02:32:15+00",78,"21.9",NULL,"0"
"2023-11-06 02:48:55+00",78,"22",NULL,"0"
"2023-11-06 03:02:15+00",78,"22.1",NULL,"0"
"2023-11-06 03:15:34+00",78,"22.2",NULL,"0"
"2023-11-06 03:29:01+00",78,NULL,0,NULL
"2023-11-06 03:31:14+00",78,"22.2",NULL,"1"
"2023-11-06 03:34:33+00",78,"22.3",NULL,"1"
"2023-11-06 03:35:40+00",78,"22.2",NULL,"1"
"2023-11-06 03:37:53+00",78,"22.1",NULL,"1"
"2023-11-06 03:40:07+00",78,"22",NULL,"1"
"2023-11-06 03:41:13+00",78,"22",NULL,"0"
"2023-11-06 03:43:27+00",78,"21.9",NULL,"0"
"2023-11-06 03:47:53+00",78,"21.8",NULL,"0"
"2023-11-06 03:52:19+00",78,"21.9",NULL,"0"
"2023-11-06 03:55:39+00",78,"21.8",NULL,"0"
"2023-11-06 04:03:26+00",78,"21.9",NULL,"0"
"2023-11-06 04:04:32+00",78,"21.8",NULL,"0"
"2023-11-06 05:30:14+00",78,NULL,1,NULL
"2023-11-06 05:38:01+00",78,"21.9",NULL,"0"
"2023-11-06 05:48:01+00",78,"22",NULL,"0"
"2023-11-06 05:52:27+00",78,NULL,0,NULL
"2023-11-06 06:28:06+00",78,"21.9",NULL,"0"
"2023-11-06 07:21:31+00",78,"21.8",NULL,"0"
"2023-11-06 08:17:03+00",78,NULL,1,NULL
"2023-11-06 08:31:33+00",78,"21.9",NULL,"0"
"2023-11-06 08:42:39+00",78,"22",NULL,"0"
"2023-11-06 08:47:06+00",78,NULL,0,NULL
"2023-11-06 09:32:45+00",78,"21.9",NULL,"0"
"2023-11-06 09:33:52+00",78,"22",NULL,"0"
"2023-11-06 09:36:05+00",78,"21.9",NULL,"0"
"2023-11-06 09:38:19+00",78,"22",NULL,"0"
"2023-11-06 09:39:25+00",78,"21.9",NULL,"0"
"2023-11-06 11:00:30+00",78,"21.8",NULL,"0"
"2023-11-06 11:01:37+00",78,"21.9",NULL,"0"
"2023-11-06 11:07:09+00",78,"21.8",NULL,"0"
"2023-11-06 11:08:15+00",78,"21.9",NULL,"0"
"2023-11-06 11:09:25+00",78,"21.8",NULL,"0"
"2023-11-06 11:11:37+00",78,"21.9",NULL,"0"
"2023-11-06 11:12:44+00",78,"21.8",NULL,"0"
"2023-11-06 11:13:50+00",78,"21.9",NULL,"0"
"2023-11-06 11:14:56+00",78,"21.8",NULL,"0"
"2023-11-06 12:15:07+00",78,NULL,1,NULL
"2023-11-06 12:48:28+00",78,"21.9",NULL,"0"
"2023-11-06 12:49:35+00",78,"21.8",NULL,"0"
"2023-11-06 12:50:42+00",78,"21.9",NULL,"0"
"2023-11-06 13:01:45+00",78,"21.8",NULL,"0"
"2023-11-06 13:03:58+00",78,"21.9",NULL,"0"
"2023-11-06 13:07:18+00",78,"21.8",NULL,"0"
"2023-11-06 13:08:24+00",78,"21.9",NULL,"0"
"2023-11-06 14:03:05+00",78,"22",NULL,"0"
"2023-11-06 14:04:12+00",78,"21.9",NULL,"0"
"2023-11-06 14:09:45+00",78,"22",NULL,"0"
"2023-11-06 14:10:51+00",78,"21.9",NULL,"0"
"2023-11-06 14:11:58+00",78,"22",NULL,"0"
"2023-11-06 15:11:56+00",78,"22.1",NULL,"0"
"2023-11-06 15:13:02+00",78,"22",NULL,"0"
"2023-11-06 15:14:08+00",78,"22.1",NULL,"0"
"2023-11-06 15:15:15+00",78,"22",NULL,"0"
"2023-11-06 15:17:27+00",78,"22.1",NULL,"0"
"2023-11-06 16:31:03+00",78,"22.2",NULL,"0"
"2023-11-06 16:32:10+00",78,"22.1",NULL,"0"
"2023-11-06 16:33:17+00",78,"22.2",NULL,"0"
"2023-11-06 16:35:31+00",78,"22.1",NULL,"0"
"2023-11-06 16:45:37+00",78,"22.2",NULL,"0"
"2023-11-06 16:54:30+00",78,"22.1",NULL,"0"
"2023-11-06 16:55:37+00",78,"22.2",NULL,"0"
"2023-11-06 17:50:00+00",78,"22.3",NULL,"1"
"2023-11-06 17:50:00+00",78,NULL,0,NULL
"2023-11-06 17:51:06+00",78,"22.2",NULL,"1"
"2023-11-06 17:57:46+00",78,"22.1",NULL,"1"
"2023-11-06 17:59:59+00",78,"22",NULL,"1"
"2023-11-06 18:01:08+00",78,"22",NULL,"0"
"2023-11-06 18:02:16+00",78,"21.9",NULL,"0"
"2023-11-06 18:07:48+00",78,"21.8",NULL,"0"
"2023-11-06 18:22:21+00",78,"21.9",NULL,"0"
"2023-11-06 18:23:27+00",78,"21.8",NULL,"0"
"2023-11-06 19:29:24+00",78,NULL,2,NULL
"2023-11-06 19:30:30+00",78,NULL,1,NULL
"2023-11-06 19:36:14+00",78,"21.9",NULL,"0"
"2023-11-06 19:39:33+00",78,"22",NULL,"0"
"2023-11-06 19:48:29+00",78,"22.1",NULL,"0"
"2023-11-06 20:05:13+00",78,"22.2",NULL,"0"
"2023-11-06 20:06:20+00",78,"22.1",NULL,"0"
"2023-11-06 20:08:37+00",78,"22.2",NULL,"0"
"2023-11-06 20:22:00+00",78,NULL,0,NULL
"2023-11-06 20:23:07+00",78,"22.2",NULL,"1"
"2023-11-06 20:29:48+00",78,"22.1",NULL,"1"
"2023-11-06 20:32:01+00",78,"22",NULL,"1"
"2023-11-06 20:33:07+00",78,"22",NULL,"0"
"2023-11-06 20:34:13+00",78,"21.9",NULL,"0"
"2023-11-06 20:38:41+00",78,"21.8",NULL,"0"
"2023-11-06 22:02:08+00",78,NULL,1,NULL
"2023-11-06 22:13:14+00",78,"21.9",NULL,"0"
"2023-11-06 22:29:53+00",78,"22",NULL,"0"
"2023-11-06 22:37:37+00",78,NULL,0,NULL
"2023-11-06 23:05:22+00",78,"21.9",NULL,"0"
"2023-11-06 23:06:29+00",78,"22",NULL,"0"
"2023-11-06 23:07:36+00",78,"21.9",NULL,"0"
"2023-11-06 23:08:42+00",78,"22",NULL,"0"
"2023-11-06 23:13:09+00",78,"21.9",NULL,"0"
"2023-11-07 00:19:47+00",78,"21.8",NULL,"0"
"2023-11-07 00:20:54+00",78,"21.9",NULL,"0"
"2023-11-07 00:23:08+00",78,"21.8",NULL,"0"
"2023-11-07 00:24:15+00",78,"21.9",NULL,"0"
"2023-11-07 00:26:28+00",78,"21.8",NULL,"0"
"2023-11-07 01:14:12+00",78,NULL,1,NULL
"2023-11-07 02:08:39+00",78,"21.9",NULL,"0"
"2023-11-07 02:09:45+00",78,"21.8",NULL,"0"
"2023-11-07 02:11:59+00",78,"21.9",NULL,"0"
"2023-11-07 02:13:06+00",78,"21.8",NULL,"0"
"2023-11-07 02:14:13+00",78,"21.9",NULL,"0"
"2023-11-07 02:15:20+00",78,"21.8",NULL,"0"
"2023-11-07 02:16:27+00",78,"21.9",NULL,"0"
"2023-11-07 02:18:40+00",78,"21.8",NULL,"0"
"2023-11-07 02:19:47+00",78,"21.9",NULL,"0"
"2023-11-07 02:20:53+00",78,"21.8",NULL,"0"
"2023-11-07 02:22:00+00",78,"21.9",NULL,"0"
"2023-11-07 02:58:38+00",78,"22",NULL,"0"
"2023-11-07 02:59:45+00",78,"21.9",NULL,"0"
"2023-11-07 03:06:25+00",78,"22",NULL,"0"
"2023-11-07 03:18:38+00",78,NULL,0,NULL
"2023-11-07 03:39:44+00",78,"21.9",NULL,"0"
"2023-11-07 03:40:51+00",78,"22",NULL,"0"
"2023-11-07 03:49:44+00",78,"21.9",NULL,"0"
"2023-11-07 04:44:08+00",78,"21.8",NULL,"0"
"2023-11-07 04:45:15+00",78,"21.9",NULL,"0"
"2023-11-07 04:48:35+00",78,"21.8",NULL,"0"
"2023-11-07 04:49:41+00",78,"21.9",NULL,"0"
"2023-11-07 04:50:48+00",78,"21.8",NULL,"0"
"2023-11-07 04:53:01+00",78,"21.9",NULL,"0"
"2023-11-07 04:55:15+00",78,"21.8",NULL,"0"
"2023-11-07 05:45:21+00",78,NULL,1,NULL
"2023-11-07 06:02:01+00",78,"21.9",NULL,"0"
"2023-11-07 06:04:14+00",78,"21.8",NULL,"0"
"2023-11-07 06:05:21+00",78,"21.9",NULL,"0"
