time,tank_id,t_is,h_valve,t_valve
2022-11-20 00:02:08+00,82,7,0,0
2022-11-20 00:04:21+00,82,6.9,NULL,0
2022-11-20 00:09:53+00,82,6.8,NULL,0
2022-11-20 00:10:59+00,82,6.9,NULL,0
2022-11-20 00:16:29+00,82,7,NULL,0
2022-11-20 00:21:59+00,82,7.1,NULL,0
2022-11-20 00:25:17+00,82,7.2,NULL,0
2022-11-20 00:28:36+00,82,7.3,NULL,1
2022-11-20 00:35:12+00,82,7.2,NULL,1
2022-11-20 00:38:31+00,82,7.1,NULL,1
2022-11-20 00:56:08+00,82,7.2,NULL,1
2022-11-20 00:57:14+00,82,7.1,NULL,1
2022-11-20 00:58:20+00,82,7.2,NULL,1
2022-11-20 01:03:50+00,82,7.3,NULL,1
2022-11-20 01:15:56+00,82,7.4,NULL,1
2022-11-20 01:21:26+00,82,7.5,NULL,1
2022-11-20 01:26:57+00,82,7.4,NULL,1
2022-11-20 01:31:21+00,82,7.3,NULL,1
2022-11-20 01:34:39+00,82,7.2,NULL,1
2022-11-20 01:39:04+00,82,7.1,NULL,1
2022-11-20 01:42:22+00,82,7,NULL,1
2022-11-20 01:43:28+00,82,7,NULL,0
2022-11-20 01:45:40+00,82,6.9,NULL,0
2022-11-20 01:58:53+00,82,7,NULL,0
2022-11-20 02:03:17+00,82,7.1,NULL,0
2022-11-20 02:06:35+00,82,7.2,NULL,0
2022-11-20 02:11:00+00,82,7.3,NULL,1
2022-11-20 02:23:06+00,82,7.2,NULL,1
2022-11-20 02:29:42+00,82,7.3,NULL,1
2022-11-20 02:31:55+00,82,7.2,NULL,1
2022-11-20 02:33:01+00,82,7.3,NULL,1
2022-11-20 02:34:08+00,82,7.2,NULL,1
2022-11-20 02:38:37+00,82,7.1,NULL,1
2022-11-20 02:45:13+00,82,7,NULL,1
2022-11-20 02:48:32+00,82,7,NULL,0
2022-11-20 02:50:44+00,82,6.9,NULL,0
2022-11-20 03:01:47+00,82,7,NULL,0
2022-11-20 03:06:12+00,82,7.1,NULL,0
2022-11-20 03:10:38+00,82,7.2,NULL,0
2022-11-20 03:15:02+00,82,7.3,NULL,1
2022-11-20 03:19:26+00,82,7.4,NULL,1
2022-11-20 03:38:09+00,82,7.5,NULL,1
2022-11-20 03:40:21+00,82,7.4,NULL,1
2022-11-20 03:45:52+00,82,7.3,NULL,1
2022-11-20 03:49:10+00,82,7.2,NULL,1
2022-11-20 03:52:28+00,82,7.1,NULL,1
2022-11-20 03:55:47+00,82,7,NULL,1
2022-11-20 03:57:59+00,82,7,NULL,0
2022-11-20 03:59:05+00,82,6.9,NULL,0
2022-11-20 04:12:18+00,82,7,NULL,0
2022-11-20 04:17:48+00,82,7.1,NULL,0
2022-11-20 04:21:07+00,82,7.2,NULL,0
2022-11-20 04:24:25+00,82,7.2,NULL,2
2022-11-20 04:25:31+00,82,7.3,NULL,1
2022-11-20 04:45:22+00,82,7.4,NULL,1
2022-11-20 04:46:28+00,82,7.3,NULL,1
2022-11-20 04:47:34+00,82,7.4,NULL,1
2022-11-20 04:56:23+00,82,7.5,NULL,1
2022-11-20 04:57:29+00,82,7.4,NULL,1
2022-11-20 05:04:06+00,82,7.3,NULL,1
2022-11-20 05:08:30+00,82,7.2,NULL,1
2022-11-20 05:10:42+00,82,7.1,NULL,1
2022-11-20 05:14:01+00,82,7,NULL,1
2022-11-20 05:15:07+00,82,7,NULL,0
2022-11-20 05:17:19+00,82,6.9,NULL,0
2022-11-20 05:31:38+00,82,7,NULL,0
2022-11-20 05:36:02+00,82,7.1,NULL,0
2022-11-20 05:39:22+00,82,7.2,NULL,0
2022-11-20 05:43:46+00,82,7.3,NULL,1
2022-11-20 05:50:23+00,82,7.2,NULL,1
2022-11-20 06:11:19+00,82,7.3,NULL,1
2022-11-20 06:17:55+00,82,7.4,NULL,1
2022-11-20 06:31:08+00,82,7.3,NULL,1
2022-11-20 06:34:26+00,82,7.2,NULL,1
2022-11-20 06:37:49+00,82,7.1,NULL,1
2022-11-20 06:41:07+00,82,7,NULL,1
2022-11-20 06:43:19+00,82,7,NULL,0
2022-11-20 06:45:31+00,82,6.9,NULL,0
2022-11-20 06:59:50+00,82,7,NULL,0
2022-11-20 07:04:14+00,82,7.1,NULL,0
2022-11-20 07:08:38+00,82,7.2,NULL,0
2022-11-20 07:13:04+00,82,7.3,NULL,1
2022-11-20 07:21:53+00,82,7.2,NULL,1
2022-11-20 07:31:48+00,82,7.3,NULL,1
2022-11-20 07:39:31+00,82,7.4,NULL,1
2022-11-20 07:53:49+00,82,7.3,NULL,1
2022-11-20 07:57:08+00,82,7.2,NULL,1
2022-11-20 08:00:26+00,82,7.1,NULL,1
2022-11-20 08:03:44+00,82,7,NULL,2
2022-11-20 08:04:50+00,82,7,NULL,0
2022-11-20 08:07:04+00,82,6.9,NULL,0
2022-11-20 08:20:17+00,82,7,NULL,0
2022-11-20 08:24:42+00,82,7.1,NULL,0
2022-11-20 08:28:00+00,82,7.2,NULL,0
2022-11-20 08:31:18+00,82,7.2,NULL,1
2022-11-20 08:32:24+00,82,7.3,NULL,1
2022-11-20 08:41:16+00,82,7.2,NULL,1
2022-11-20 08:53:23+00,82,7.3,NULL,1
2022-11-20 09:04:25+00,82,7.4,NULL,1
2022-11-20 09:07:44+00,82,7.3,NULL,1
2022-11-20 09:14:20+00,82,7.2,NULL,1
