"time","tank_id","t_is","h_valve","t_valve"
"2022-10-01 00:01:01+00",96,"15.3",NULL,"1"
"2022-10-01 00:03:13+00",96,"15.1",NULL,"1"
"2022-10-01 00:04:19+00",96,"14.8",NULL,"0"
"2022-10-01 00:05:25+00",96,"14.6",NULL,"0"
"2022-10-01 00:05:25+00",96,NULL,1,NULL
"2022-10-01 00:06:32+00",96,"14.5",NULL,"0"
"2022-10-01 00:07:38+00",96,"14.7",NULL,"0"
"2022-10-01 00:08:44+00",96,"14.8",NULL,"0"
"2022-10-01 00:09:50+00",96,"14.9",NULL,"0"
"2022-10-01 00:10:56+00",96,NULL,0,NULL
"2022-10-01 00:10:56+00",96,"15.1",NULL,"0"
"2022-10-01 00:12:02+00",96,"15.2",NULL,"0"
"2022-10-01 00:13:08+00",96,"15.3",NULL,"1"
"2022-10-01 00:15:20+00",96,"15.2",NULL,"1"
"2022-10-01 00:16:27+00",96,"15",NULL,"1"
"2022-10-01 00:17:33+00",96,"14.8",NULL,"0"
"2022-10-01 00:18:39+00",96,NULL,1,NULL
"2022-10-01 00:18:39+00",96,"14.6",NULL,"0"
"2022-10-01 00:20:52+00",96,"14.7",NULL,"0"
"2022-10-01 00:21:58+00",96,"14.8",NULL,"0"
"2022-10-01 00:23:04+00",96,"15",NULL,"0"
"2022-10-01 00:23:04+00",96,NULL,0,NULL
"2022-10-01 00:24:10+00",96,"15.2",NULL,"0"
"2022-10-01 00:25:16+00",96,"15.3",NULL,"1"
"2022-10-01 00:28:34+00",96,"15.1",NULL,"1"
"2022-10-01 00:29:40+00",96,"14.8",NULL,"0"
"2022-10-01 00:30:46+00",96,NULL,1,NULL
"2022-10-01 00:30:46+00",96,"14.6",NULL,"0"
"2022-10-01 00:32:58+00",96,"14.7",NULL,"0"
"2022-10-01 00:34:04+00",96,"14.9",NULL,"0"
"2022-10-01 00:35:10+00",96,"15",NULL,"0"
"2022-10-01 00:35:10+00",96,NULL,0,NULL
"2022-10-01 00:36:16+00",96,"15.2",NULL,"0"
"2022-10-01 00:37:23+00",96,"15.3",NULL,"1"
"2022-10-01 00:38:29+00",96,"15.4",NULL,"1"
"2022-10-01 00:39:35+00",96,"15.3",NULL,"1"
"2022-10-01 00:40:41+00",96,"15.1",NULL,"1"
"2022-10-01 00:41:47+00",96,"14.8",NULL,"0"
"2022-10-01 00:42:53+00",96,"14.6",NULL,"0"
"2022-10-01 00:42:53+00",96,NULL,1,NULL
"2022-10-01 00:43:59+00",96,"14.5",NULL,"0"
"2022-10-01 00:45:06+00",96,"14.6",NULL,"0"
"2022-10-01 00:46:12+00",96,"14.8",NULL,"0"
"2022-10-01 00:47:18+00",96,"15",NULL,"0"
"2022-10-01 00:48:24+00",96,NULL,0,NULL
"2022-10-01 00:48:24+00",96,"15.1",NULL,"0"
"2022-10-01 00:49:30+00",96,"15.2",NULL,"0"
"2022-10-01 00:50:36+00",96,"15.3",NULL,"1"
"2022-10-01 00:52:48+00",96,"15.2",NULL,"1"
"2022-10-01 00:53:54+00",96,"14.9",NULL,"0"
"2022-10-01 00:55:00+00",96,"14.8",NULL,"0"
"2022-10-01 00:57:13+00",96,"14.9",NULL,"0"
